Cód.,Ano Letivo,Serie,Andamento adesao,Situacao,Matricula,Escola
80,2019,9,CONCLUIDA,Dep.neste ano,119422753235,E M RACHIDE DA GLORIA SALIM SAKER
80,2022,3,CONCLUIDA,Reprovado,201732150494632,LICEU NILO PECANHA
82,2019,9,INSCRICAO PARCIAL,Dep.neste ano,121960264760,E M PAULO FREIRE
82,2022,3,INSCRICAO PARCIAL,Reprovado,202031881544068,LICEU NILO PECANHA
89,2019,9,CONCLUIDA,Reprovado,116443800051,E M RACHIDE DA GLORIA SALIM SAKER
89,2020,9,VALOR DEPOSITADO,Aprovado,116443800051,E M RACHIDE DA GLORIA SALIM SAKER
89,2021,1,CONCLUIDA,Reprovado,202119340634753,CE DAVID CAPISTRANO
89,2022,2,CONCLUIDA,Não avaliado,202119340634753,CE DAVID CAPISTRANO
89,2023,2,CONCLUIDA,Não avaliado,202119340634753,CE DAVID CAPISTRANO
107,2019,9,CONCLUIDA,Dep.neste ano,13506835580,E M RACHIDE DA GLORIA SALIM SAKER
107,2022,2,CONCLUIDA,Reprovado,201716160612717,CE DAVID CAPISTRANO
109,2019,9,VALOR DEPOSITADO,Aprovado,121682502278,ESCOLA MUNICIPAL SANTOS DUMONT
109,2020,1,VALOR DEPOSITADO,Aprovado,202031830982149,CE AURELINO LEAL
109,2021,1,VALOR DEPOSITADO,Aprovado,20202006388,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
109,2022,1,CONCLUIDA,Não avaliado,20202006388,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
109,2023,2,CONCLUIDA,Não avaliado,20202006388,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
111,2019,9,VALOR DEPOSITADO,Aprovado,114416159110,E M DR ALBERTO FRANCISCO TORRES
111,2022,3,CONCLUIDA,Reprovado,202031881502063,LICEU NILO PECANHA
118,2019,9,ELEGIVEL,Dep.neste ano,119560157441,E M RACHIDE DA GLORIA SALIM SAKER
118,2022,3,ELEGIVEL,Aprovado,202019340603551,CE DAVID CAPISTRANO
125,2019,9,PRE-INSCRITO,Reprovado,118253153618,ESCOLA MUNICIPAL ALTIVO CESAR
125,2021,1,PRE-INSCRITO,Aprovado,202132261081163,CE RAUL VIDAL
128,2019,1,ELEGIVEL,Reprovado,20191024560,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
128,2020,2,ELEGIVEL,Transferido,20191024560,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
149,2019,9,VALOR DEPOSITADO,Aprovado,112070938742,ESCOLA MUNICIPAL SANTOS DUMONT
149,2020,1,VALOR DEPOSITADO,Aprovado,202032150587941,CE MANUEL DE ABREU
149,2021,2,CONCLUIDA,Reprovado,202032150587941,CE MANUEL DE ABREU
149,2022,2,CONCLUIDA,Transferido,202032150587941,CE MANUEL DE ABREU
149,2024,2,CONCLUIDA,Não avaliado,202032150587941,LICEU NILO PECANHA
150,2019,1,PRE-INSCRITO,Reprovado,20191024748,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
150,2020,2,PRE-INSCRITO,Aprovado,20191024748,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
151,2019,9,CONCLUIDA,Dep.neste ano,110486297755,ESCOLA MUNICIPAL ALTIVO CESAR
151,2022,3,CONCLUIDA,Aprovado,202032261025607,LICEU NILO PECANHA
157,2019,9,CONCLUIDA,Reprovado,121388136901,E M HONORINA DE CARVALHO
157,2020,9,VALOR DEPOSITADO,Aprovado,121388136901,E M HONORINA DE CARVALHO
157,2023,1,CONCLUIDA,Reprovado,202331910563141,CE PAULO ASSIS RIBEIRO
157,2024,1,CONCLUIDA,Reprovado,202331910563141,CE PAULO ASSIS RIBEIRO
158,2019,9,CONCLUIDA,Dep.neste ano,124047913382,ESCOLA MUNICIPAL ALTIVO CESAR
158,2022,2,CONCLUIDA,Reprovado,202031881507537,LICEU NILO PECANHA
164,2019,9,PRE-INSCRITO,Dep.neste ano,122385587482,E M LEVI CARNEIRO
164,2022,3,PRE-INSCRITO,Reprovado,202031910524147,CE PAULO ASSIS RIBEIRO
167,2019,9,CONCLUIDA,Dep.neste ano,120723174791,E M RACHIDE DA GLORIA SALIM SAKER
167,2022,3,CONCLUIDA,Aprovado,202019340610173,CE DAVID CAPISTRANO
174,2019,9,VALOR DEPOSITADO,Aprovado,119709505440,ESCOLA MUNICIPAL ALTIVO CESAR
174,2022,3,CONCLUIDA,Aprovado,202032261036560,CE RAUL VIDAL
182,2019,9,INSCRICAO PARCIAL,Reprovado,116924288102,E M HONORINA DE CARVALHO
182,2022,2,INSCRICAO PARCIAL,Abandonou,202029510578612,CE PAULO ASSIS RIBEIRO
185,2019,9,VALOR DEPOSITADO,Aprovado,120242503518,E M PAULO FREIRE
185,2022,3,CONCLUIDA,Aprovado,202019340613350,CE DAVID CAPISTRANO
190,2019,1,INSCRICAO PARCIAL,Reprovado,20191024640,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
190,2022,3,INSCRICAO PARCIAL,Aprovado,201515930192292,CE PROFESSORA ALCINA RODRIGUES LIMA
200,2019,9,VALOR DEPOSITADO,Aprovado,117218951910,E M LEVI CARNEIRO
200,2020,1,VALOR DEPOSITADO,Aprovado,202031940766599,CE BALTAZAR BERNARDINO
200,2022,2,CONCLUIDA,Não avaliado,202031940766599,CE PAULO ASSIS RIBEIRO
202,2019,9,CONCLUIDA,Dep.neste ano,121686736087,E M JOSE DE ANCHIETA
202,2022,3,CONCLUIDA,Reprovado,202031870883451,CE MACHADO DE ASSIS
202,2023,3,CONCLUIDA,Aprovado,202031870883451,CE MACHADO DE ASSIS
206,2019,9,VALOR DEPOSITADO,Aprovado,116583432390,ESCOLA MUNICIPAL ALTIVO CESAR
206,2022,3,CONCLUIDA,Reprovado,202032261030872,CE RAUL VIDAL
206,2023,3,CONCLUIDA,Dep.neste ano,202032261030872,CE RAUL VIDAL
209,2019,9,VALOR DEPOSITADO,Aprovado,112297848020,ESCOLA MUNICIPAL SANTOS DUMONT
209,2020,1,CONCLUIDA,Reprovado,20201021924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
209,2021,1,CONCLUIDA,Reprovado,20201021924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
209,2022,1,CONCLUIDA,Reprovado,20201021924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
209,2023,2,CONCLUIDA,Aprovado,20201021924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
209,2024,3,CONCLUIDA,Aprovado,20201021924,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
222,2019,1,CONCLUIDA,Reprovado,20191025235,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
222,2020,2,CONCLUIDA,Reprovado,20191025235,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
222,2021,3,CONCLUIDA,Reprovado,20191025235,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
222,2022,3,CONCLUIDA,Aprovado,20191025235,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
238,2019,1,ELEGIVEL,Reprovado,20191025137,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
238,2020,2,ELEGIVEL,Transferido,20191025137,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
242,2019,9,PRE-INSCRITO,Aprovado,122344674542,ESCOLA MUNICIPAL ALTIVO CESAR
242,2022,3,PRE-INSCRITO,Aprovado,202031840348310,CE BRIGADEIRO CASTRIOTO
246,2019,9,VALOR DEPOSITADO,Aprovado,113054173304,ESCOLA MUNICIPAL SANTOS DUMONT
246,2020,1,VALOR DEPOSITADO,Aprovado,202031881553131,LICEU NILO PECANHA
246,2022,2,CONCLUIDA,Não avaliado,202031881553131,LICEU NILO PECANHA
249,2019,9,CONCLUIDA,Dep.neste ano,122075286778,E M RACHIDE DA GLORIA SALIM SAKER
249,2022,2,CONCLUIDA,Abandonou,202032000471638,CE DOUTOR LUCIANO PESTRE
252,2019,9,CONCLUIDA,Reprovado,121103755586,E M JOSE DE ANCHIETA
252,2020,9,CONCLUIDA,Aprovado,121103755586,E M RACHIDE DA GLORIA SALIM SAKER
252,2022,1,CONCLUIDA,Não avaliado,201631890411302,CE RAUL VIDAL
252,2023,1,CONCLUIDA,Não avaliado,201631890411302,CE DAVID CAPISTRANO
255,2019,9,CC aberta - SEM ADESÃO,Dep.neste ano,122381152341,E M LEVI CARNEIRO
255,2022,3,CC aberta - SEM ADESÃO,Aprovado,202070130036910,CE BALTAZAR BERNARDINO
257,2019,9,VALOR DEPOSITADO,Aprovado,116441862092,E M FRANCISCO PORTUGAL NEVES
257,2020,1,VALOR DEPOSITADO,Aprovado,202031881497124,LICEU NILO PECANHA
257,2021,2,VALOR DEPOSITADO,Aprovado,202031881497124,LICEU NILO PECANHA
257,2022,2,CONCLUIDA,Não avaliado,202031881497124,LICEU NILO PECANHA
257,2023,3,CONCLUIDA,Não avaliado,202031881497124,LICEU NILO PECANHA
262,2019,9,VALOR DEPOSITADO,Aprovado,116666913050,E M JOAO BRAZIL
262,2020,1,VALOR DEPOSITADO,Aprovado,202017810088242,CIEP 251 DONA MARIA PORTUGAL
262,2022,2,CONCLUIDA,Não avaliado,202017810088242,CIEP 251 DONA MARIA PORTUGAL
264,2019,9,PRE-INSCRITO,Aprovado,117217837846,E M LEVI CARNEIRO
264,2022,3,PRE-INSCRITO,Aprovado,202032140632391,CE LEOPOLDO FROES
277,2019,9,PRE-INSCRITO,Reprovado,121742306151,E M LEVI CARNEIRO
277,2020,9,PRE-INSCRITO,Aprovado,121742306151,E M LEVI CARNEIRO
277,2022,2,PRE-INSCRITO,Não avaliado,202131910535072,CE PAULO ASSIS RIBEIRO
277,2023,3,PRE-INSCRITO,Aprovado,202131910535072,CE PAULO ASSIS RIBEIRO
286,2020,2,VALOR DEPOSITADO,Aprovado,20191025010,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
286,2021,2,VALOR DEPOSITADO,Aprovado,20191025010,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
286,2022,2,CONCLUIDA,Não avaliado,20191025010,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
287,2020,1,VALOR DEPOSITADO,Aprovado,20201021871,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
287,2021,2,VALOR DEPOSITADO,Aprovado,20201021871,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
287,2022,2,CONCLUIDA,Não avaliado,20201021871,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
287,2023,3,CONCLUIDA,Não avaliado,20201021871,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
288,2020,2,VALOR DEPOSITADO,Aprovado,20191023956,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
288,2021,2,VALOR DEPOSITADO,Aprovado,20191023956,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
288,2022,2,CONCLUIDA,Não avaliado,20191023956,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
1609,2020,9,VALOR DEPOSITADO,Aprovado,111544289820,E M RACHIDE DA GLORIA SALIM SAKER
1609,2021,1,VALOR DEPOSITADO,Aprovado,202119340622828,CE DAVID CAPISTRANO
1609,2022,2,CONCLUIDA,Reprovado,202119340622828,CE DAVID CAPISTRANO
1609,2023,2,CONCLUIDA,Reprovado,202119340622828,CE DAVID CAPISTRANO
1609,2025,2,CONCLUIDA,Não avaliado,202119340622828,CE RAUL VIDAL
1611,2020,9,ELEGIVEL,Aprovado,121395275504,E M JOAO BRAZIL
1611,2023,1,ELEGIVEL,Dep.neste ano,202317810091641,CIEP 251 DONA MARIA PORTUGAL
1611,2024,2,ELEGIVEL,Não avaliado,202317810091641,CIEP 251 DONA MARIA PORTUGAL
1626,2020,9,INSCRICAO PARCIAL,Aprovado,116745360119,ESCOLA MUNICIPAL SANTOS DUMONT
1626,2021,1,INSCRICAO PARCIAL,Aprovado,202131881584686,LICEU NILO PECANHA
1626,2022,1,INSCRICAO PARCIAL,Não avaliado,202131881584686,LICEU NILO PECANHA
1637,2020,9,VALOR DEPOSITADO,Aprovado,117280347010,E M DR ALBERTO FRANCISCO TORRES
1637,2021,1,CONCLUIDA,Dep.neste ano,201632300383486,IE PROFESSOR ISMAEL COUTINHO
1637,2022,1,VALOR DEPOSITADO,Aprovado,201632300383486,LICEU NILO PECANHA
1637,2023,2,CONCLUIDA,Reprovado,201632300383486,LICEU NILO PECANHA
1639,2020,9,VALOR DEPOSITADO,Aprovado,121588141011,E M RACHIDE DA GLORIA SALIM SAKER
1639,2023,3,CONCLUIDA,Reprovado,202119340632971,CE DAVID CAPISTRANO
1639,2024,3,CONCLUIDA,Não avaliado,202119340632971,CE DAVID CAPISTRANO
1648,2020,9,ELEGIVEL,Aprovado,120910728690,E M FRANCISCO PORTUGAL NEVES
1648,2023,2,ELEGIVEL,Reprovado,202131930455521,CE ALMIRANTE TAMANDARE
1650,2020,9,ELEGIVEL,Aprovado,122268916170,E M HONORINA DE CARVALHO
1650,2021,1,ELEGIVEL,Aprovado,202131881602765,LICEU NILO PECANHA
1650,2022,1,ELEGIVEL,Não avaliado,202131881602765,LICEU NILO PECANHA
1650,2023,2,ELEGIVEL,Não avaliado,202131881602765,LICEU NILO PECANHA
1650,2024,2,ELEGIVEL,Não avaliado,202131881602765,LICEU NILO PECANHA
1674,2020,9,PRE-INSCRITO,Aprovado,120689428609,ESCOLA MUNICIPAL ANTINEIA SILVEIRA MIRANDA
1674,2022,2,PRE-INSCRITO,Não avaliado,202131881585811,LICEU NILO PECANHA
1674,2023,2,PRE-INSCRITO,Não avaliado,202131881585811,LICEU NILO PECANHA
1676,2020,9,VALOR DEPOSITADO,Aprovado,123251601066,E M JOAO BRAZIL
1676,2021,0,CONCLUIDA,Não Cursou,201717810075810,CE DAVID CAPISTRANO
1676,2022,1,VALOR DEPOSITADO,Aprovado,201717810075810,CE DAVID CAPISTRANO
1676,2023,2,CONCLUIDA,Dep.neste ano,201717810075810,CE DAVID CAPISTRANO
1676,2024,3,CONCLUIDA,Aprovado,201717810075810,CE DAVID CAPISTRANO
1677,2020,9,ELEGIVEL,Aprovado,120647185082,E M LEVI CARNEIRO
1677,2021,1,ELEGIVEL,Aprovado,202132150600871,CE MANUEL DE ABREU
1677,2022,2,ELEGIVEL,Transferido,202132150600871,CE MANUEL DE ABREU
1677,2023,3,ELEGIVEL,Aprovado,202132150600871,CE MANUEL DE ABREU
1686,2020,9,ELEGIVEL,Aprovado,119122944434,E M PAULO FREIRE
1686,2022,1,ELEGIVEL,Não avaliado,201732010379310,CE HILARIO RIBEIRO
1687,2020,9,VALOR DEPOSITADO,Aprovado,120688620344,ESCOLA MUNICIPAL ANTINEIA SILVEIRA MIRANDA
1687,2021,1,VALOR DEPOSITADO,Aprovado,201932000465737,CE DAVID CAPISTRANO
1687,2022,2,VALOR DEPOSITADO,Aprovado,201932000465737,CE DAVID CAPISTRANO
1687,2024,3,CONCLUIDA,Não avaliado,201932000465737,LICEU NILO PECANHA
1688,2020,9,VALOR DEPOSITADO,Aprovado,119125843280,ESCOLA MUNICIPAL ALTIVO CESAR
1688,2021,1,CONCLUIDA,Abandonou,M07201046,CPII - CAMPUS NITEROI
1688,2023,1,CONCLUIDA,Transferido,202132261079509,CE MULLULO DA VEIGA
1690,2020,9,ELEGIVEL,Aprovado,121852536119,E M FRANCISCO PORTUGAL NEVES
1690,2022,2,ELEGIVEL,Não avaliado,202131930454711,CE ALMIRANTE TAMANDARE
1696,2020,9,ELEGIVEL,Aprovado,123508308102,ESCOLA MUNICIPAL ALTIVO CESAR
1696,2022,2,ELEGIVEL,Não avaliado,202129710600405,CE CONSELHEIRO MACEDO SOARES
1700,2020,9,VALOR DEPOSITADO,Aprovado,110939427388,E M JOSE DE ANCHIETA
1700,2021,1,VALOR DEPOSITADO,Aprovado,202132000476326,CE DOUTOR LUCIANO PESTRE
1700,2022,1,CONCLUIDA,Não avaliado,202132000476326,CE DOUTOR LUCIANO PESTRE
1700,2023,1,CONCLUIDA,Não avaliado,202132000476326,CE DOUTOR LUCIANO PESTRE
1700,2024,2,CONCLUIDA,Não avaliado,202132000476326,CE DOUTOR LUCIANO PESTRE
1713,2020,9,CONCLUIDA,Aprovado,112962717739,E M FRANCISCO PORTUGAL NEVES
1713,2022,1,CONCLUIDA,Não avaliado,202232240563531,CE PROFESSORA ALCINA RODRIGUES LIMA
1713,2023,1,CONCLUIDA,Não avaliado,202232240563531,CE ALMIRANTE TAMANDARE
1713,2024,1,CONCLUIDA,Aprovado,202232240563531,CE ALMIRANTE TAMANDARE
1713,2025,2,CONCLUIDA,Não avaliado,202232240563531,CE ALMIRANTE TAMANDARE
1716,2020,9,ELEGIVEL,Aprovado,119577392236,E M LEVI CARNEIRO
1716,2022,2,ELEGIVEL,Não avaliado,202131881607805,CE PAULO ASSIS RIBEIRO
1720,2020,9,PRE-INSCRITO,Aprovado,120517400463,E M FRANCISCO PORTUGAL NEVES
1720,2021,1,PRE-INSCRITO,Abandonou,201729510514346,LICEU NILO PECANHA
1720,2022,2,PRE-INSCRITO,Aprovado,201729510514346,CIEP 307 DJANIRA
1720,2023,3,PRE-INSCRITO,Aprovado,201729510514346,CE RAUL VIDAL
1720,2024,3,PRE-INSCRITO,Não avaliado,201729510514346,CE RAUL VIDAL
1725,2020,9,INSCRICAO PARCIAL,Aprovado,121379882914,E M JOAO BRAZIL
1725,2022,1,INSCRICAO PARCIAL,Não avaliado,202231970352221,CE CONSELHEIRO JOSINO
1728,2020,9,ELEGIVEL,Aprovado,117755493210,ESCOLA MUNICIPAL ALTIVO CESAR
1728,2022,1,ELEGIVEL,Não avaliado,202231900518341,CE MULLULO DA VEIGA
1729,2020,9,VALOR DEPOSITADO,Aprovado,122520338279,ESCOLA MUNICIPAL ALTIVO CESAR
1729,2021,1,CONCLUIDA,Transferido,202131850874119,CE CONSELHEIRO MACEDO SOARES
1729,2022,2,CONCLUIDA,Reprovado,202131850874119,LICEU NILO PECANHA
1729,2023,2,CONCLUIDA,Não avaliado,202131850874119,LICEU NILO PECANHA
1737,2020,9,ELEGIVEL,Aprovado,122743626290,ESCOLA MUNICIPAL ALTIVO CESAR
1737,2022,1,ELEGIVEL,Não avaliado,201129440090684,LICEU NILO PECANHA
1742,2020,9,VALOR DEPOSITADO,Aprovado,121104484900,E M RACHIDE DA GLORIA SALIM SAKER
1742,2021,1,VALOR DEPOSITADO,Aprovado,202119340616771,CE DAVID CAPISTRANO
1742,2022,2,CONCLUIDA,Reprovado,202119340616771,CE DAVID CAPISTRANO
1742,2024,3,CONCLUIDA,Aprovado,202119340616771,CE JOAQUIM TAVORA
1760,2020,9,CONCLUIDA,Aprovado,119608462990,E M FRANCISCO PORTUGAL NEVES
1760,2021,1,CONCLUIDA,Aprovado,202131930439400,CE ALMIRANTE TAMANDARE
1760,2023,2,CONCLUIDA,Aprovado,202131930439400,CE ALMIRANTE TAMANDARE
1760,2024,3,CONCLUIDA,Reprovado,202131930439400,CE ALMIRANTE TAMANDARE
1770,2020,9,ELEGIVEL,Aprovado,114508440575,E M FRANCISCO PORTUGAL NEVES
1770,2021,1,ELEGIVEL,Abandonou,202131881574966,LICEU NILO PECANHA
1770,2022,2,ELEGIVEL,Reprovado,202131881574966,CE ALMIRANTE TAMANDARE
1770,2023,2,ELEGIVEL,Reprovado,202131881574966,CE ALMIRANTE TAMANDARE
1775,2020,9,CONCLUIDA,Aprovado,116593219648,E M PAULO FREIRE
1775,2022,1,CONCLUIDA,Não avaliado,202232050442642,CE EMBAIXADOR RAUL FERNANDES
